M_kSU_24,M_pC_mat_after,M_amp_mat_after,M_per_mat_after,M_amp_mat_after_halved
0.12,0.395984991,0.485697607,23.99469717,0.242848804
0.118866286,0.393574245,0.484322013,24.00465033,0.242161007
0.118282692,0.390785738,0.483170835,23.99598451,0.241585418
0.116927186,0.388109554,0.481086644,24.04648876,0.240543322
0.116104611,0.384203618,0.479077576,23.98300112,0.239538788
0.11527015,0.382568576,0.477009092,23.99846208,0.238504546
0.115,0.381222237,0.476367337,24.00793856,0.238183669
0.114173072,0.378553736,0.474828833,24.00997711,0.237414417
0.113088309,0.375036724,0.47266238,24.04545204,0.23633119
0.11210516,0.371568893,0.470378884,24.02665575,0.235189442
0.111392531,0.368664266,0.468454885,23.99757407,0.234227443
0.110645982,0.365621971,0.466182003,23.97364732,0.233091002
0.11,0.362388995,0.46477579,23.99888952,0.232387895
0.1096714,0.361173913,0.463964314,24.00113879,0.231982157
0.108853511,0.359388912,0.461437011,24.00114323,0.230718505
0.107503182,0.355874481,0.458060354,24.03039942,0.229030177
0.107201531,0.353770143,0.455861221,23.99681912,0.227930611
0.106283534,0.349960677,0.452985002,23.97699986,0.226492501
0.105448813,0.347224958,0.45027586,23.98858517,0.22513793
0.105,0.34460823,0.448466563,23.96790479,0.224233282
0.104900655,0.344222277,0.447810584,23.99877519,0.223905292
0.103788614,0.340686509,0.444911141,24.00056131,0.222455571
0.103031831,0.338659034,0.442250285,23.99383411,0.221125143
0.101992417,0.334954434,0.438948352,24.00963282,0.219474176
0.101682205,0.332351062,0.436213386,23.95562664,0.218106693
0.101093615,0.329025625,0.43359988,23.98582292,0.21679994
0.1,0.326776908,0.430235088,23.98708896,0.215117544
0.099634642,0.325844804,0.428925151,23.99188974,0.214462576
0.099025254,0.323162445,0.425490419,23.98875025,0.212745209
0.097980274,0.320678245,0.422012959,23.99406489,0.21100648
0.096758035,0.316305077,0.418013302,24.02155852,0.209006651
0.096280378,0.313488392,0.415191564,23.99935715,0.207595782
0.095196301,0.309265221,0.410944279,24.00229242,0.20547214
0.095,0.308818981,0.410107076,24.00218899,0.205053538
0.094243345,0.306641522,0.406374723,24.08205464,0.203187361
0.092726847,0.30338343,0.400180959,24.0386977,0.200090479
0.091878405,0.299572582,0.396740849,24.0295413,0.198370425
0.091360512,0.29703597,0.393604994,24.02944993,0.196802497
0.090348073,0.292559548,0.389140062,24.00110033,0.194570031
0.09,0.291210854,0.387599646,23.99896622,0.193799823
0.089211765,0.288510693,0.383688679,23.97755068,0.19184434
0.087936024,0.285630391,0.377871547,23.97702618,0.188935773
0.08772602,0.28311118,0.374159353,23.95675022,0.187079676
0.085651501,0.277956874,0.365963386,23.99163198,0.182981693
0.085,0.276673486,0.362457778,23.92480683,0.181228889
0.084383678,0.273087779,0.359741322,24.02907509,0.179870661
0.082010705,0.267701921,0.349017969,24.1086641,0.174508984
0.080061359,0.261758017,0.339025525,24.00211079,0.169512763
0.08,0.261902389,0.338146674,24.0143966,0.169073337
0.07685064,0.253137629,0.322221385,24.02079073,0.161110693
0.077553335,0.252744349,0.322544661,23.92237763,0.161272331
0.075,0.246321767,0.309327078,23.92542675,0.154663539
0.073431968,0.243587195,0.302448211,23.93353173,0.151224106
0.07,0.235233622,0.284706632,23.97102132,0.142353316
0.06994174,0.235117923,0.284535422,23.99020151,0.142267711
0.068733366,0.233888063,0.279900396,24.06459905,0.139950198
0.066630456,0.230373774,0.268282878,24.02925898,0.134141439
0.065,0.226703232,0.25953337,23.99958876,0.129766685
0.064803162,0.226641656,0.258936579,24.01964499,0.129468289
0.063813689,0.225380191,0.254292838,24.03950971,0.127146419
0.063461685,0.226280369,0.255525944,24.05763899,0.127762972
0.062446076,0.224879913,0.250396132,24.11861312,0.125198066
0.061398287,0.223279469,0.244825417,24.19465157,0.122412709
0.06,0.22026481,0.233775557,24.02165597,0.116887778
0.059928392,0.220214581,0.2335821,24.03223119,0.11679105
0.059010065,0.218674534,0.228012179,23.97401582,0.11400609
0.05841971,0.218489598,0.22629102,23.992182,0.11314551
0.057751012,0.218130818,0.223731227,24.13510937,0.111865613
0.057102355,0.217348006,0.220648165,24.09547239,0.110324082
0.056081397,0.215792489,0.212826304,24.08934338,0.106413152
0.055459861,0.215388646,0.210069234,24.04943563,0.105034617
0.055,0.214076583,0.205757487,23.98489873,0.102878744
0.054735342,0.214316427,0.205436416,24.02428492,0.102718208
0.054143208,0.213953686,0.202714083,24.06499067,0.101357041
0.053763616,0.214648303,0.203390059,24.1675797,0.101695029
0.053453108,0.21504943,0.205129716,24.24917981,0.102564858
0.052542291,0.213712042,0.196670315,24.17239712,0.098335158
0.052111923,0.213822693,0.196505402,24.21567576,0.098252701
0.051538542,0.213466154,0.19343584,24.31923733,0.09671792
0.050588048,0.211437369,0.181928601,24.09868433,0.0909643
0.05,0.2101834,0.177455315,24.10782543,0.088727657
0.049974411,0.210169427,0.17727029,24.05481808,0.088635145
0.049107593,0.207313709,0.154828214,23.49903418,0.077414107
0.048583219,0.206832666,0.150235097,23.4146762,0.075117548
0.048073605,0.206333991,0.145885115,23.45414379,0.072942557
0.047603097,0.206144583,0.142751617,23.40628108,0.071375808
0.047142946,0.206378509,0.139705802,23.4266967,0.069852901
0.046863305,0.207652357,0.144092405,23.7060938,0.072046202
0.046269667,0.206726627,0.135060199,23.46722661,0.067530099
0.0457371,0.205712751,0.128073937,23.2973828,0.064036968
0.045,0.201511276,0.106454463,22.82082905,0.053227232
