time,inf,06,12
0,0.485521629,0.477017984,0.516681798
4,0.660415944,0.414046053,0.448373585
8,0.436948591,0.333225246,0.300637852
12,0.30798748,0.260803237,0.214563224
16,0.212022367,0.272655932,0.173768966
20,0.175298437,0.303367479,0.234874014
24,0.277818912,0.313880458,0.322693819
28,0.457073459,0.290219387,0.319835518
32,0.426344112,0.280344638,0.272357762
36,0.281080117,0.279064059,0.245799291
40,0.196020801,0.269662629,0.255463496
44,0.170189596,0.274194175,0.281746184
48,0.265066262,0.268358496,0.257160359
52,0.432434532,0.258339186,0.250196778
56,0.421580814,0.260792636,0.235681988
60,0.296456405,0.26854905,0.241266104
64,0.196799961,0.264041438,0.236472676
68,0.168663509,0.265938446,0.25407746
72,0.256079706,0.262391498,0.225490981
